NIM,Nama_Mahasiswa,Kelas,Age_at_enrollment,Gender,Admission_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder
2024IFA001,Ilham Puspa,IF-A,20,0,155.1,6,7,6,13.3,6,7,5,14.7,1,0,1
2024IFA002,Dinda Saputra,IF-A,19,1,129.6,6,6,5,15.6,6,6,6,15.2,1,0,0
2024IFA003,Rafi Anggraini,IF-A,19,1,155.3,6,6,5,17.4,6,6,6,16.0,1,0,1
2024IFA004,Fajar Utomo,IF-A,18,1,120.7,6,7,6,14.7,6,6,5,17.2,1,0,1
2024IFA005,Aulia Nugraha,IF-A,19,1,143.4,6,7,6,12.7,6,7,6,17.7,1,0,0
2024IFA006,Zack Lestari,IF-A,22,1,96.4,6,2,1,8.9,6,2,0,9.7,0,1,0
2024IFA007,Satria Pratama,IF-A,19,1,118.2,6,4,3,8.7,6,3,2,7.7,0,1,0
2024IFA008,Ilham Permana,IF-A,19,1,124.3,6,7,6,14.1,6,7,6,14.4,1,0,0
2024IFA009,Yoga Utomo,IF-A,18,1,145.3,6,6,6,12.7,6,7,6,13.1,1,0,1
2024IFA010,Ilham Maharani,IF-A,21,0,151.3,6,6,5,14.6,6,7,6,17.7,1,0,0
2024IFA011,Salma Saputra,IF-A,19,0,148.5,6,7,6,13.6,6,7,6,15.7,1,0,0
2024IFA012,Ilham Pratama,IF-A,20,1,139.2,6,6,6,14.0,6,6,6,15.1,1,0,1
2024IFA013,Reza Lestari,IF-A,19,1,107.1,6,2,2,8.9,6,3,1,5.0,0,1,0
2024IFA014,Anisa Saputra,IF-A,19,1,121.5,6,6,6,13.7,6,7,5,15.2,1,0,0
2024IFA015,Indah Setiawan,IF-A,18,1,152.8,6,7,6,17.4,6,6,6,13.5,1,0,0
2024IFA016,Hafiz Anggraini,IF-A,22,0,104.8,6,3,3,9.8,6,3,2,1.7,0,1,0
2024IFA017,Aditya Setiawan,IF-A,18,1,129.4,6,7,6,13.8,6,7,6,17.9,1,0,0
2024IFA018,Aditya Anggraini,IF-A,18,0,160.5,6,6,6,13.9,6,7,6,17.5,1,0,0
2024IFA019,Laras Puspa,IF-A,22,1,122.0,6,4,2,9.3,6,3,0,9.7,0,1,0
2024IFA020,Dimas Anggraini,IF-A,21,1,152.0,6,6,6,13.4,6,7,6,17.2,1,0,0
2024IFA021,Reza Wahyuni,IF-A,19,1,131.0,6,6,6,14.9,6,6,6,17.0,1,0,0
2024IFA022,Zahra Pratama,IF-A,23,0,110.0,6,2,3,8.2,6,1,1,2.8,1,0,0
2024IFA023,Tiara Maharani,IF-A,20,1,163.4,6,6,6,14.0,6,6,6,14.6,1,0,1
2024IFA024,Wulan Kusuma,IF-A,21,1,129.4,6,6,6,13.2,6,7,6,14.6,1,0,0
2024IFA025,Fitria Anggraini,IF-A,19,1,156.4,6,6,6,15.6,6,6,5,15.5,1,0,0
2024IFA026,Zahra Utomo,IF-A,21,0,159.9,6,7,5,13.0,6,7,6,14.6,1,0,1
2024IFA027,Fitria Maharani,IF-A,24,1,104.1,6,2,3,9.8,6,1,0,4.6,1,1,0
