NIM,Nama_Mahasiswa,Kelas,Age_at_enrollment,Gender,Admission_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder
2024IFA001,Gita Puspa,IF-A,18,1,121.7,6,10,2,9.7,6,11,1,8.1,0,0,0
2024IFA002,Kartika Ramadhan,IF-A,22,0,112.0,6,10,2,13.7,6,8,4,3.4,1,0,0
2024IFA003,Reza Hidayat,IF-A,23,1,118.9,6,10,2,8.4,6,9,3,5.4,0,1,0
2024IFA004,Aulia Setiawan,IF-A,21,0,116.4,6,9,3,13.8,6,9,3,11.0,1,1,0
2024IFA005,Kartika Kusuma,IF-A,19,0,129.7,6,11,1,11.4,6,8,4,11.1,1,1,1
2024IFA006,Hadi Wijaya,IF-A,25,0,120.5,6,11,1,8.6,6,8,4,10.2,0,1,0
2024IFA007,Dinda Saputra,IF-A,19,1,121.4,6,8,4,11.2,6,9,3,6.9,0,0,0
2024IFA008,Annisa Permana,IF-A,20,1,113.9,6,7,5,11.9,6,8,4,9.1,0,0,0
2024IFA009,Farhan Santoso,IF-A,25,0,113.1,6,10,2,11.2,6,9,3,9.2,0,0,0
2024IFA010,Bagas Pratama,IF-A,20,1,113.7,6,11,1,6.3,6,9,3,6.4,0,0,0
2024IFA011,Lestari Permana,IF-A,22,1,121.9,6,9,3,8.2,6,10,2,12.8,0,0,0
2024IFA012,Budi Siregar,IF-A,23,1,113.8,6,10,2,9.3,6,9,3,11.3,1,1,0
2024IFA013,Dimas Wulandari,IF-A,22,1,120.9,6,12,0,0.0,6,11,1,8.7,0,0,0
2024IFA014,Dewi Mahendra,IF-A,18,0,138.8,6,11,1,11.2,6,8,4,9.3,1,0,0
2024IFA015,Oki Puspa,IF-A,18,0,126.7,6,9,3,10.2,6,8,4,9.7,0,0,0
2024IFA016,Farhan Permana,IF-A,22,1,114.7,6,9,3,6.9,6,12,0,0.0,1,1,0
2024IFA017,Rafi Wijaya,IF-A,23,1,130.0,6,12,0,0.0,6,9,3,8.6,1,1,0
2024IFA018,Eko Hidayat,IF-A,22,1,113.9,6,11,1,11.1,6,12,0,0.0,0,0,0
2024IFA019,Ilham Nugroho,IF-A,23,0,97.6,6,11,1,11.0,6,11,1,6.8,0,0,0
2024IFA020,Gita Nasution,IF-A,23,0,107.9,6,9,3,12.2,6,9,3,8.5,0,1,0
2024IFA021,Dian Firmansyah,IF-A,24,1,99.3,6,12,0,0.0,6,11,1,13.5,0,0,0
2024IFA022,Siti Nugroho,IF-A,25,1,114.5,6,11,1,10.8,6,9,3,10.7,1,1,0
2024IFA023,Aulia Saputra,IF-A,21,1,118.2,6,8,4,9.6,6,8,4,7.8,1,1,0
2024IFA024,Wahyu Puspa,IF-A,23,1,134.8,6,11,1,6.1,6,10,2,10.6,1,0,0
2024IFA025,Dewi Hidayat,IF-A,20,1,121.3,6,9,3,10.7,6,12,0,0.0,0,0,0
2024IFA026,Lestari Ramadhan,IF-A,23,0,115.8,6,11,1,10.3,6,11,1,11.4,0,1,0
2024IFA027,Oki Wijaya,IF-A,23,0,126.3,6,12,0,0.0,6,10,2,9.3,0,0,0
2024IFA028,Nadia Siregar,IF-A,23,1,95.9,6,11,1,7.0,6,6,6,7.6,1,0,0
2024IFA029,Dian Nasution,IF-A,24,1,120.4,6,9,3,7.4,6,10,2,10.9,0,1,0
2024IFA030,Hadi Kusuma,IF-A,25,0,125.7,6,8,4,12.1,6,11,1,10.1,0,1,0
2024IFA031,Bagas Santoso,IF-A,24,0,103.2,6,8,4,9.7,6,10,2,11.3,0,1,0
2024IFA032,Dinda Wulandari,IF-A,18,1,129.4,6,10,2,11.3,6,10,2,10.7,0,1,0
2024IFA033,Dian Nasution,IF-A,24,0,121.4,6,9,3,9.9,6,9,3,11.7,0,0,1
2024IFA034,Aulia Permana,IF-A,20,0,113.8,6,11,1,9.9,6,12,0,0.0,1,0,0
2024IFA035,Bagas Wulandari,IF-A,20,1,124.3,6,11,1,11.9,6,9,3,12.4,1,1,0
2024IFA036,Farhan Kusuma,IF-A,24,1,140.7,6,8,4,8.7,6,10,2,9.7,0,0,0
2024IFA037,Nadia Mahendra,IF-A,25,1,119.8,6,12,0,0.0,6,7,5,14.2,1,0,0
2024IFA038,Oki Ramadhan,IF-A,22,0,120.5,6,12,0,0.0,6,11,1,7.5,1,1,0
2024IFA039,Nadia Ramadhan,IF-A,21,1,113.4,6,11,1,8.8,6,10,2,13.4,1,0,0
2024IFA040,Ilham Mahendra,IF-A,25,0,109.5,6,12,0,0.0,6,7,5,9.7,1,0,1
2024IFB001,Muhammad Nasution,IF-B,24,0,126.3,6,11,1,10.3,6,12,0,0.0,0,0,0
2024IFB002,Oki Anggraini,IF-B,23,1,109.4,6,9,3,8.7,6,7,5,8.0,0,0,1
2024IFB003,Indah Puspa,IF-B,19,1,118.7,6,10,2,12.6,6,9,3,8.4,0,0,0
2024IFB004,Muhammad Pratama,IF-B,21,1,113.2,6,8,4,7.8,6,12,0,0.0,1,0,0
2024IFB005,Budi Hidayat,IF-B,21,1,122.8,6,8,4,9.4,6,11,1,10.5,0,0,0
2024IFB006,Indah Pratama,IF-B,20,1,121.3,6,10,2,8.8,6,9,3,7.8,0,1,1
2024IFB007,Lestari Ramadhan,IF-B,21,0,128.4,6,11,1,13.0,6,12,0,0.0,1,1,0
2024IFB008,Annisa Setiawan,IF-B,24,0,112.9,6,10,2,10.2,6,10,2,14.3,0,0,0
2024IFB009,Taufik Siregar,IF-B,23,0,115.3,6,9,3,12.1,6,11,1,13.3,1,1,0
2024IFB010,Hadi Wijaya,IF-B,23,0,108.2,6,11,1,6.5,6,10,2,10.2,0,0,0
2024IFB011,Citra Pratama,IF-B,18,1,113.6,6,9,3,10.4,6,12,0,0.0,0,0,0
2024IFB012,Dimas Utami,IF-B,23,0,121.8,6,10,2,11.8,6,8,4,9.5,1,1,0
2024IFB013,Joko Hidayat,IF-B,25,1,125.6,6,9,3,10.0,6,7,5,10.7,1,0,0
2024IFB014,Aulia Nugroho,IF-B,23,1,108.8,6,10,2,12.1,6,7,5,6.7,0,1,0
2024IFB015,Dewi Hidayat,IF-B,20,1,126.7,6,11,1,8.7,6,9,3,8.6,0,0,0
2024IFB016,Indah Ramadhan,IF-B,23,1,131.6,6,7,5,12.9,6,12,0,0.0,0,1,0
2024IFB017,Lestari Saputra,IF-B,18,1,122.1,6,8,4,14.9,6,9,3,10.2,0,0,0
2024IFB018,Aditya Mahendra,IF-B,19,1,136.8,6,11,1,9.0,6,12,0,0.0,1,1,0
2024IFB019,Rafi Utami,IF-B,24,0,110.3,6,8,4,8.8,6,12,0,0.0,1,0,0
2024IFB020,Citra Permana,IF-B,20,1,105.6,6,10,2,13.0,6,11,1,13.0,0,1,0
