NIM,Nama_Mahasiswa,Kelas,Age_at_enrollment,Gender,Admission_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder
2024IFA001,Dimas Wulandari,IF-A,18,1,134.0,6,7,5,13.3,6,7,5,12.7,1,0,0
2024IFA002,Rian Utami,IF-A,21,1,129.8,6,6,6,13.9,6,7,5,9.2,1,0,0
2024IFA003,Kartika Anggraini,IF-A,19,1,104.1,6,7,5,13.6,6,7,5,14.1,1,0,0
2024IFA004,Putri Puspa,IF-A,21,0,133.1,6,7,5,14.4,6,8,4,15.2,1,0,0
2024IFA005,Dewi Permana,IF-A,19,1,136.7,6,6,6,13.2,6,10,2,15.7,1,1,1
2024IFA006,Gita Setiawan,IF-A,21,0,127.9,6,6,6,15.2,6,10,2,13.2,1,0,1
2024IFA007,Budi Saputra,IF-A,19,1,140.2,6,6,6,13.4,6,6,6,14.3,0,0,0
2024IFA008,Hadi Wulandari,IF-A,18,1,140.7,6,6,6,13.7,6,8,4,14.0,1,0,0
2024IFA009,Putri Saputra,IF-A,21,1,134.6,6,6,6,12.7,6,8,4,16.7,1,0,0
2024IFA010,Oki Ramadhan,IF-A,20,1,122.4,6,7,5,10.3,6,7,5,14.1,0,0,0
2024IFA011,Rafi Firmansyah,IF-A,18,1,145.3,6,6,6,14.8,6,7,5,12.7,1,0,0
2024IFA012,Rian Setiawan,IF-A,18,0,133.5,6,8,4,12.5,6,6,6,13.8,1,0,0
2024IFA013,Gita Kusuma,IF-A,20,1,121.2,6,8,4,15.6,6,7,5,18.6,1,0,1
2024IFA014,Budi Pratama,IF-A,21,0,151.3,6,6,6,12.9,6,7,5,12.6,1,0,0
2024IFA015,Nadia Firmansyah,IF-A,21,1,129.9,6,6,6,16.4,6,7,5,14.9,1,0,0
2024IFA016,Farhan Pratama,IF-A,20,1,140.5,6,7,5,13.8,6,7,5,13.3,1,0,0
2024IFA017,Dian Kusuma,IF-A,19,0,128.1,6,6,6,15.5,6,6,6,14.5,1,0,0
2024IFA018,Bagas Nugroho,IF-A,21,0,133.3,6,7,5,13.9,6,6,6,15.0,1,0,0
2024IFA019,Aditya Hidayat,IF-A,18,1,144.2,6,7,5,12.5,6,7,5,13.8,1,0,0
2024IFA020,Oki Kusuma,IF-A,20,1,146.8,6,6,6,14.9,6,6,6,13.9,1,0,0
2024IFA021,Muhammad Utami,IF-A,19,1,138.1,6,6,6,14.0,6,7,5,13.1,0,0,0
2024IFA022,Putri Puspa,IF-A,20,1,151.6,6,6,6,12.3,6,6,6,15.2,1,0,0
2024IFA023,Gita Pratama,IF-A,19,1,131.9,6,7,5,14.4,6,10,2,14.9,1,0,0
2024IFA024,Dewi Utami,IF-A,20,1,135.8,6,7,5,16.0,6,8,4,12.6,1,0,0
2024IFA025,Aditya Utami,IF-A,18,0,135.3,6,7,5,13.1,6,7,5,15.8,1,0,0
2024IFA026,Taufik Saputra,IF-A,21,0,150.4,6,7,5,13.6,6,7,5,15.3,1,0,0
2024IFA027,Farhan Ramadhan,IF-A,18,1,120.7,6,6,6,15.2,6,8,4,10.9,1,0,0
2024IFA028,Bagas Saputra,IF-A,19,0,134.9,6,8,4,13.5,6,7,5,14.6,1,0,0
2024IFA029,Annisa Santoso,IF-A,19,0,126.5,6,6,6,15.2,6,8,4,12.3,1,0,0
2024IFA030,Indah Saputra,IF-A,21,0,132.6,6,7,5,14.9,6,7,5,14.7,1,0,0
2024IFA031,Bagas Nasution,IF-A,21,1,140.0,6,8,4,16.3,6,8,4,16.6,1,1,0
2024IFA032,Hadi Pratama,IF-A,20,1,134.7,6,7,5,16.6,6,8,4,13.0,1,0,0
2024IFA033,Nadia Hidayat,IF-A,19,1,143.2,6,7,5,15.1,6,6,6,12.8,1,0,0
2024IFA034,Fajar Permana,IF-A,19,1,148.3,6,9,3,13.8,6,6,6,12.8,1,0,0
2024IFA035,Kartika Puspa,IF-A,21,0,141.3,6,7,5,15.7,6,7,5,11.9,1,0,0
2024IFA036,Bagas Firmansyah,IF-A,18,0,150.0,6,6,6,13.7,6,8,4,13.3,1,0,0
2024IFA037,Putri Nasution,IF-A,20,0,146.9,6,6,6,14.0,6,8,4,12.9,1,0,0
