NIM,Nama_Mahasiswa,Kelas,Age_at_enrollment,Gender,Admission_grade,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder
2024IFA001,Indah Kusuma,IF-A,18,1,135.5,6,9,3,11.6,6,6,6,13.1,0,0,0
2024IFA002,Hadi Mahendra,IF-A,21,1,116.3,6,7,5,11.9,6,8,4,10.3,0,1,0
2024IFA003,Rian Setiawan,IF-A,18,1,132.0,6,8,4,12.2,6,9,3,9.9,1,1,0
2024IFA004,Ilham Wijaya,IF-A,21,0,128.7,6,8,4,10.3,6,6,6,11.6,1,0,0
2024IFA005,Dinda Wijaya,IF-A,22,0,131.9,6,7,5,12.4,6,8,4,10.6,1,0,0
2024IFA006,Citra Puspa,IF-A,18,1,141.9,6,9,3,9.5,6,8,4,15.8,1,0,0
2024IFA007,Citra Nasution,IF-A,18,1,137.9,6,8,4,11.6,6,10,2,8.6,1,1,0
2024IFA008,Rian Mahendra,IF-A,23,1,121.8,6,7,5,11.5,6,8,4,11.9,0,0,0
2024IFA009,Eko Permana,IF-A,21,0,132.0,6,9,3,11.3,6,10,2,14.2,1,0,0
2024IFA010,Reza Siregar,IF-A,18,0,125.3,6,9,3,13.2,6,10,2,10.4,1,1,0
2024IFA011,Dewi Wulandari,IF-A,20,0,126.6,6,8,4,13.3,6,8,4,9.5,1,0,0
2024IFA012,Farhan Wijaya,IF-A,20,1,137.3,6,8,4,12.2,6,8,4,10.5,1,0,0
2024IFA013,Dewi Anggraini,IF-A,18,1,135.9,6,8,4,16.2,6,10,2,9.5,1,0,1
2024IFA014,Eko Saputra,IF-A,23,1,150.7,6,7,5,14.1,6,7,5,11.7,1,0,0
2024IFA015,Nadia Utami,IF-A,21,1,129.8,6,9,3,13.9,6,7,5,9.4,0,0,0
2024IFA016,Eko Kusuma,IF-A,19,0,135.7,6,6,6,11.4,6,6,6,13.2,1,0,0
2024IFA017,Hadi Nasution,IF-A,21,0,119.0,6,8,4,11.7,6,9,3,10.2,1,0,0
2024IFA018,Putri Saputra,IF-A,23,1,121.9,6,10,2,9.8,6,8,4,10.8,1,0,0
2024IFA019,Farhan Puspa,IF-A,19,1,141.0,6,8,4,14.6,6,9,3,10.4,1,0,1
2024IFA020,Annisa Ramadhan,IF-A,20,1,120.6,6,7,5,16.0,6,8,4,9.7,1,1,0
2024IFA021,Dewi Siregar,IF-A,22,1,144.8,6,6,6,12.6,6,9,3,11.4,1,0,0
2024IFA022,Citra Wulandari,IF-A,20,1,134.3,6,9,3,10.2,6,7,5,9.8,1,0,0
2024IFA023,Wahyu Wijaya,IF-A,21,1,131.9,6,7,5,13.1,6,7,5,12.8,0,0,0
2024IFA024,Dinda Puspa,IF-A,23,1,135.8,6,9,3,11.8,6,9,3,12.8,1,0,1
2024IFA025,Siti Siregar,IF-A,22,0,124.6,6,8,4,12.8,6,8,4,12.9,1,0,0
2024IFA026,Putri Ramadhan,IF-A,20,0,128.7,6,6,6,9.1,6,10,2,9.7,1,0,0
2024IFA027,Nadia Hidayat,IF-A,19,0,123.5,6,6,6,10.6,6,10,2,9.3,1,0,0
2024IFA028,Muhammad Pratama,IF-A,21,1,130.8,6,9,3,14.1,6,10,2,11.4,1,0,0
2024IFA029,Budi Wijaya,IF-A,22,0,122.8,6,7,5,13.4,6,10,2,13.1,1,0,0
2024IFA030,Dinda Setiawan,IF-A,18,1,127.4,6,7,5,13.7,6,8,4,9.9,1,0,0
2024IFA031,Siti Nugroho,IF-A,19,1,130.3,6,7,5,13.0,6,8,4,12.4,1,0,0
2024IFA032,Nadia Setiawan,IF-A,22,0,133.8,6,10,2,15.7,6,10,2,12.3,1,0,0
2024IFA033,Siti Utami,IF-A,23,0,127.5,6,9,3,11.3,6,8,4,15.1,1,0,0
2024IFA034,Taufik Nugroho,IF-A,22,1,135.7,6,9,3,12.8,6,7,5,9.9,0,0,0
2024IFA035,Dewi Puspa,IF-A,20,0,129.1,6,10,2,12.3,6,6,6,9.2,1,0,0
